there are total 216 partitions   total nodes: 47773 
they are:
partition 16   17:
2877 41.922149, 123.418136
2880 41.922351, 123.418078
2891 41.922744, 123.417958
2878 41.921822, 123.414674
2886 41.921774, 123.414609
2883 41.921712, 123.414599
2888 41.920324, 12.341496
2892 41.920293, 123.415005
2890 41.920282, 123.415065
35705 4.192088, 123.419569
2882 41.920899, 123.419568
2879 41.920926, 123.419566
2884 41.921218, 123.419436
2881 41.921788, 123.419212
2887 41.922451, 123.418975
35796 41.922475, 123.418948
2889 41.922482, 123.418904
partition 17   5:
3368 41.931351, 123.417133
29279 41.931526, 123.417191
29284 41.931671, 123.417311
29288 41.931808, 12.341748
29272 41.931101, 123.417094
partition 18   62:
315 41.796399, 123.546536
33621 41.796547, 123.546794
317 41.796627, 123.546932
9442 41.796672, 12.354701
9439 41.797362, 123.546309
9435 4.179725, 123.546074
4026 41.796357, 123.546463
4032 41.795783, 123.547025
4031 41.795151, 123.545656
9433 41.794132, 123.543399
9438 41.793956, 123.542991
9443 41.793244, 1.235415
9434 41.794227, 123.543697
9440 4.179437, 123.544036
9437 4.179502, 123.545362
43471 41.793157, 123.541336
43478 41.792559, 123.542058
43501 41.792851, 123.541972
43498 41.793071, 123.541806
43497 41.793108, 123.541555
43479 41.792103, 123.542509
43481 41.792027, 123.542686
9436 41.791612, 123.536575
9441 41.793012, 12.354106
8621 41.789779, 123.537467
4027 41.794968, 123.545888
4036 41.795024, 123.545727
4033 4.179436, 123.546435
4035 41.794248, 123.546468
4029 41.794064, 123.546328
4030 4.179368, 123.545502
4028 41.793456, 123.544955
4037 4.179332, 12.354488
4038 41.793216, 123.544601
4040 41.793008, 123.544504
4039 41.792704, 123.544214
4023 41.796831, 123.545952
4022 41.797071, 123.545759
18718 41.796388, 123.544213
22295 41.796098, 123.543885
18719 41.796321, 123.543477
18720 41.796461, 123.543217
36170 41.798433, 123.540071
22291 41.797648, 123.540466
22294 41.795968, 123.541264
22285 41.795504, 123.541371
22288 41.795168, 1.235412
22292 4.179472, 123.540728
22290 41.793904, 123.537595
22284 0.417916, 123.528282
22287 0.004179, 123.528904
20642 41.789741, 12.352904
20643 41.789588, 123.529267
20644 41.789494, 123.529466
20645 41.788946, 123.529929
30951 41.788818, 123.529563
20641 41.788781, 123.529459
22289 41.788034, 123.529784
22293 41.796592, 123.544728
22286 4.178795, 123.530292
4034 41.797135, 123.545867
4025 41.797172, 123.545913
partition 19   8:
439 41.820231, 123.290377
440 41.820423, 123.289797
444 4.181876, 123.289025
445 41.819182, 123.284891
446 41.819208, 123.284771
447 41.820455, 123.273339
443 4.181796, 123.291578
7147 41.828466, 123.294883
partition 20   21:
7179 41.894411, 123.555462
28478 41.894201, 123.555645
28477 41.893498, 12.355634
7180 41.894576, 123.555202
28479 41.895109, 123.553879
28480 41.895698, 123.552579
